Provenance,Tool,Software,Vendor,Group,Integration,Band,Comp_or_Neural,X,Y,Recurrence,Inputs,Inference_Locus,Model_Backend,Date_Note,Source_URL,Status,Notes
seed 260413,Single-img Gaussian Splat,,,,,Inferential,,2.0,2.5,,,,,,,,
seed 260413,ComfyUI (prompt-only),,,,,Inferential,,1.8,4.5,,,,,,,,
seed 260413,Stable Diffusion,,,,,Inferential,,1.5,2.5,,,,,,,,
seed 260413,Runway / Pika,,,,,Inferential,,1.5,7.5,,,,,,,,
seed 260413,LLM Spatial Agent,,,,,Inferential,,1.5,6.0,,,,,,,,
seed 260413,DALL-E,,,,,Inferential,,1.3,2.5,,,,,,,,
seed 260413,Midjourney,,,,,Inferential,,1.2,3.0,,,,,,,,
seed 260413,Text-to-3D (TripoSR),,,,,Inferential,,1.0,2.0,,,,,,,,
seed 260413,Sora / Veo,,,,,Inferential,,1.0,8.0,,,,,,,,
survey 260812,After Effects Keyframes & Expressions,After Effects,Adobe,Adobe,core,Explicit,computational,8.8,2.5,iterative,layered keyframes; JavaScript-based expressions binding properties,"Composition resolves from layered keyframes and expressions, procedural bindings evaluated deterministically per frame. Working state stays addressable.",,Compositing and animation core per Wikipedia.,https://en.wikipedia.org/wiki/Adobe_After_Effects,verified,Procedural dependencies place it near Houdini SOP on the x axis.
survey 260812,Illustrator Vector Editing,Illustrator,Adobe,Adobe,core,Explicit,computational,9,1.5,iterative,"Bezier paths, anchor points, appearance attributes, effect parameters",Artwork resolves from Bezier paths and appearance attributes the designer sets; geometry stays addressable at anchor-point level and rendering is deterministic.,,Vector core since the 1987 original per Wikipedia.,https://en.wikipedia.org/wiki/Adobe_Illustrator,verified,
survey 260812,Photoshop Layers & Masks,Photoshop,Adobe,Adobe,core,Explicit,computational,8.5,2,iterative,"layer stack, masks, blend modes, adjustment parameters set directly","The composite resolves from the layer stack: pixel and adjustment layers, masks, and blend modes the designer sets directly. Rendering is deterministic and edits stay addressable as working state.",,Layers introduced in Photoshop 3.0 (1994) per Wikipedia.,https://en.wikipedia.org/wiki/Adobe_Photoshop,verified,Seed anchor row (8.5/2.0).
survey 260812,Premiere Pro Timeline Editing,Premiere Pro,Adobe,Adobe,core,Explicit,computational,9.2,1,iterative,"clip in/out points, track arrangement, transitions, effect parameters, keyframes","The program resolves from the sequence: clips, cuts, transitions, and effect parameters placed on the timeline. Rendering is deterministic and edit decisions stay addressable.",,Timeline-based NLE core per Wikipedia.,https://en.wikipedia.org/wiki/Adobe_Premiere_Pro,verified,
survey 260812,Substance 3D Painter Smart Materials,Substance 3D Painter,Adobe,Adobe,core,Explicit,computational,8.5,3,iterative,"layer and generator stacks; baked mesh maps (curvature, ambient occlusion); exposed parameters","Materials resolve procedurally from layer stacks and generators reading baked mesh maps such as curvature and ambient occlusion, placing effects by rule: wear on edges, dirt in cavities. Deterministic and re-editable.",,Long-standing Painter capability; not dated in source.,https://helpx.adobe.com/substance-3d-painter/using/materials-smart-materials.html,verified,"Adaptivity is procedural, driven by baked data rather than learned structure."
survey 260812,Adobe Podcast Enhance Speech,Adobe Podcast,Adobe,Adobe,hosted service,Conditioned,neural,5.5,1,single-pass,an uploaded spoken-audio recording; a strength slider,"A model resolves cleaned speech from an uploaded recording, attenuating background noise, reverb, and music; a strength slider balances processed against original audio. Runs as a hosted web service.",Enhance Speech v2 (proprietary),v2 current on podcast.adobe.com; v2 announcement date to be confirmed.,https://podcast.adobe.com/en/enhancespeech,verified,Free tier processes files under 30 minutes per coverage.
survey 260812,After Effects Content-Aware Fill (video),After Effects,Adobe,Adobe,core,Conditioned,hybrid,5.5,4,single-pass,a mask over the region to remove across frames; optional hand-edited reference frame,Resolves fill for a masked region across footage from surrounding spatial and temporal content; a hand-edited reference frame can condition the fill. Invoked per masked span from the Content-Aware Fill panel.,Adobe Sensei,Documented in current AE help; ship date not stated in source.,https://helpx.adobe.com/after-effects/using/content-aware-fill.html,verified,
survey 260812,After Effects Roto Brush (Next-Gen),After Effects,Adobe,Adobe,core,Conditioned,neural,6.5,4.5,iterative,brush strokes on a base frame; corrective strokes on subsequent frames,"A segmentation model resolves a subject matte from brush strokes on one frame and propagates it across footage frame by frame; corrective strokes recondition the propagation. Suited to hair, overlapping limbs, and transparency per Adobe's documentation.",proprietary (new model in Next-Gen Roto Brush),Next-Gen Roto Brush (3.0) documented in current AE help; ship date to be confirmed.,https://helpx.adobe.com/after-effects/using/roto-brush-refine-matte.html,verified,Temporal propagation gives it higher recurrence than still-image masking.
survey 260812,Illustrator Generative Recolor,Illustrator,Adobe,Adobe,core,Conditioned,neural,6,2,iterative,selected vector artwork plus a text prompt describing palette or mood,A model resolves a recoloring of selected vector artwork from a text prompt; geometry is unchanged and colors are remapped. Invoked from the Recolor workflow with variations to pick from.,Adobe Firefly,"Beta June 2023; in Illustrator 27.9, September 2023.",https://www.forbes.com/sites/rashishrivastava/2023/06/13/adobe-announces-generative-recolor-ai-feature-for-adobe-illustrator/,verified,Inference is confined to the palette; structure is fully designer-governed.
survey 260812,Lightroom AI Masking (Select Subject / Sky),Lightroom / Lightroom Classic,Adobe,Adobe,core,Conditioned,neural,7.2,1.5,single-pass,the photo; choice of mask type; parametric adjustments applied through the mask,"Segmentation models resolve subject or sky masks from the photo inside the redesigned masking panel; adjustments applied through the mask stay parametric and re-editable, and masks can be inverted or combined.",proprietary,"October 2021: Lightroom 11, Lightroom Classic 11, Camera Raw 14.",https://petapixel.com/2021/09/28/adobe-has-completely-redesigned-masking-in-lightroom-and-acr/,verified,Later releases added people and object masking; held provisionally.
survey 260812,Lightroom Denoise,Lightroom / Lightroom Classic,Adobe,Adobe,core,Conditioned,neural,6.5,1,single-pass,a Bayer or X-Trans raw file plus one amount slider,"A model resolves a demosaiced, noise-reduced DNG from raw sensor data with a single amount control; output stacks alongside the original. Runs per image on desktop.",proprietary,April 2023 Lightroom releases.,https://helpx.adobe.com/ca/lightroom-cc/using/whats-new/2023-3.html,verified,Source notes raw-mosaic support and a desktop restriction at release.
survey 260812,Lightroom Generative Remove,Lightroom (all surfaces),Adobe,Adobe,core,Conditioned,neural,4,2,single-pass,a brushed region over the photo,"A Firefly model resolves fill for a brushed region from surrounding photo content, non-destructively; variations can be previewed per removal.","Firefly Image 1 at launch, per source","Early access May 2024 across mobile, desktop, iPad, web, and Classic; Content Credentials attach at GA per source.",https://news.adobe.com/news/news-details/2024/adobe-unveils-firefly-powered-generative-remove-in-lightroom-for-fast-and-easy-ai-editing-across-surfaces,verified,
survey 260812,Photoshop Generative Fill / Generative Expand,Photoshop,Adobe,Adobe,core,Conditioned,neural,3,2,iterative,"selection or canvas extension, surrounding image context, optional text prompt, optional reference photo","A diffusion model resolves new content for a selection or expanded canvas from surrounding image context and an optional prompt, returned as variations on generative layers. A reference photo can condition object identity, with compositing matched to scale, lighting, and perspective per 2026 coverage.",Firefly image models; Firefly Fill & Expand default from April 2026; partner models selectable,"Shipped 2023; partner-model choice in Photoshop beta September 25, 2025; April 2026 release sets Firefly Fill & Expand as default and drops Firefly Image 3 from the picker, per coverage.",https://blog.adobe.com/en/publish/2025/09/25/photoshop-beta-expands-generative-fillmore-ai-models-more-possibilities,verified,"Seed anchor row (3.0/2.0). April 2026 model-picker detail is from secondary coverage (photoshopnews.com), held provisionally."
survey 260812,Photoshop Harmonize,Photoshop,Adobe,Adobe,core,Conditioned,neural,5.5,1.5,single-pass,a composited layer plus its background image,"A model resolves color, lighting, and shadow adjustments so an inserted element matches its background, invoked per layer. Each use consumes generative credits per Adobe's documentation of the feature.",Firefly-based (generative credits per source),Teased as Project Perfect Blend at MAX 2024; beta summer 2025; generally available with Photoshop 27.0 around MAX October 2025.,https://www.photoshoproadmap.com/photoshop-2025-new-features-harmonize-improved-remove-tool-and-model-picker/,verified,"Available on desktop, web, mobile per coverage."
survey 260812,Photoshop Neural Filters,Photoshop,Adobe,Adobe,core,Conditioned,neural,5.5,2,single-pass,"source image plus per-filter sliders (smoothing strength, colorize hints, style choice)","Per-filter neural models resolve effects such as skin smoothing, colorization, and style transfer from the source image and slider settings, invoked from the Neural Filters panel. Filters are tiered as featured or beta; some run on-device, others in the cloud.",Adobe Sensei (per-filter models),Introduced with the October 2020 Photoshop release per coverage; featured/beta tiers current.,https://helpx.adobe.com/photoshop/desktop/effects-filters/neural-filters/overview-of-neural-filters.html,verified,
survey 260812,Photoshop Remove Tool / Distraction Removal,Photoshop,Adobe,Adobe,core,Conditioned,hybrid,5,2.5,iterative,"brushed region over the source image; auto-detected distractions (wires, cables, background people)","Resolves fill for a brushed or auto-detected region from surrounding image content; Distraction Removal can detect wires, cables, and background people for removal. An options-bar control sets generative AI to auto, on, or off, so fills can run patch-based or generative.",Firefly-backed when generative option is on,Distraction Removal beta July 2024; in the October 2024 release (Photoshop 26.0).,https://helpx.adobe.com/photoshop/desktop/repair-retouch/remove-objects-fill-space/remove-unwanted-objects-and-distractions.html,verified,One tool spanning patch-based and generative resolution via a toggle.
survey 260812,Photoshop Select Subject / Object Selection,Photoshop,Adobe,Adobe,core,Conditioned,neural,7.2,1.5,single-pass,the open image; a click or region for object selection,"A segmentation model resolves a subject or object mask from the image, invoked from Select > Subject or the Object Selection tool. Output is a selection the designer can refine with manual selection tools.",Adobe Sensei,"Shipped in Photoshop 19.1, January 2018.",https://petapixel.com/2018/01/23/select-subject-photoshop-now-ai-powered-one-click-selections/,verified,Inference produces a boundary; downstream edits remain conventional.
survey 260812,Photoshop Sky Replacement,Photoshop,Adobe,Adobe,core,Conditioned,hybrid,6.5,1.5,single-pass,"source photo, chosen or imported sky asset, edge and tone sliders",A model resolves the sky-foreground boundary and masks in the replacement sky; foreground color is retoned toward the chosen sky. Invoked from Edit > Sky Replacement with preset or imported skies.,Adobe Sensei,"October 2020 release, Photoshop 22.0.",https://helpx.adobe.com/hk_en/photoshop/using/whats-new/2021.html,verified,Sky content is designer-supplied; inference covers masking and blending.
survey 260812,Premiere Pro Auto Reframe,Premiere Pro,Adobe,Adobe,core,Conditioned,neural,7,1.5,single-pass,"source footage, target aspect ratio, motion preset",A model tracks salient action and resolves motion keyframes that keep it framed when a sequence is reformatted to a new aspect ratio. Generated keyframes are editable afterward.,Adobe Sensei,Announced at IBC September 2019; shipped in the late-2019 release.,https://9to5mac.com/2019/09/13/adobe-premiere-pro-auto-reframe/,verified,"Inference emits explicit keyframes, which return to designer control."
survey 260812,Premiere Pro Enhance Speech,Premiere Pro,Adobe,Adobe,core,Conditioned,neural,6,1.5,single-pass,a recorded dialogue clip tagged in the Essential Sound panel; mix amount,"A model resolves cleaned dialogue from the recorded clip, attenuating background noise and poor room sound; a mix control blends processed and original audio. Applied per clip.",proprietary,Shown in beta September 2023 per source; GA timing to be confirmed.,https://petapixel.com/2023/09/13/adobe-premiere-pro-uses-ai-to-enhance-speech/,verified,
survey 260812,Premiere Pro Generative Extend,Premiere Pro,Adobe,Adobe,core,Conditioned,neural,4.5,3,single-pass,an existing clip (video and audio); trim-handle drag sets extension length,"The Firefly Video Model resolves new frames continuing an existing clip, invoked by dragging past the clip end; audio can extend alongside. Generated media is conditioned on the source clip.",Firefly Video Model,"Beta October 2024; generally available April 2, 2025 with 4K and vertical support.",https://helpx.adobe.com/premiere/desktop/edit-projects/edit-with-generative-ai/generative-extend-overview.html,verified,GA announcement: news.adobe.com/news/2025/04/new-ai-innovation-in-industry.
survey 260812,Premiere Pro Text-Based Editing,Premiere Pro,Adobe,Adobe,core,Conditioned,hybrid,7.5,2,iterative,source footage audio; transcript text selections,A speech model resolves a transcript from footage; the designer cuts by selecting transcript text and the timeline mirrors those selections. Transcription runs per clip; the resulting edits are conventional cuts.,Adobe speech-to-text,Generally available May 2023 release.,https://helpx.adobe.com/vn_vi/premiere-pro/using/whats-new/2023-4.html,verified,Inference supplies an index into the media; resolution of the cut stays explicit.
survey 260812,Substance 3D Sampler Image to Material,Substance 3D Sampler,Adobe,Adobe,core,Conditioned,neural,6,2,single-pass,a photograph or single scan of a real-world surface,"A model resolves a tileable PBR material, with albedo, normal, and roughness maps, from a photograph of a surface; the result becomes a parametric asset for further adjustment in Sampler workflows.",proprietary (Adobe Research),Documented by Adobe Research; shipped in Sampler and Capture.,https://research.adobe.com/news/behind-the-tech-image-to-material-in-adobe-substance-3d-sampler-and-adobe-capture,verified,Comparable position to photogrammetry: inferred detail sits inside what the photo governs.
survey 260812,Express AI Assistant,Adobe Express,Adobe,Adobe,agent,Inferential,neural,1.5,6,persistent,conversational prompts over a design document; templates and brand assets,"An assistant resolves design edits and layouts in Express from conversational prompts, executing multi-step changes in the document. Announced at MAX, October 2025.",proprietary agentic system over Firefly,Announced at MAX October 2025 alongside Firefly Foundry.,https://www.eweek.com/news/adobe-max-express-ai-assistant-firefly-foundry/,verified,
survey 260812,Firefly AI Assistant,Firefly (web app),Adobe,Adobe,agent,Inferential,neural,1.2,6.5,persistent,conversational direction; assets in session,"An agent resolves multi-step creative tasks from conversational direction, orchestrating image and video generation and tools drawn from Creative Cloud apps; the designer supplies direction and judgment while execution is delegated.",agentic layer over Firefly and partner models (30+ models per Adobe),"Public beta April 27, 2026.",https://blog.adobe.com/en/publish/2026/04/15/introducing-firefly-ai-assistant-new-way-create-with-our-creative-agent,verified,"June 18, 2026 announcement extends the creative agent across Photoshop, Premiere, Illustrator (news.adobe.com/news/2026/06/adobe-unveils-major-expansion)."
survey 260812,Firefly Boards,Firefly Boards,Adobe,Adobe,hosted service,Inferential,neural,1.5,6,persistent,"prompts, dropped reference images, remixing of prior generations on a shared canvas; model choice including partner models","A canvas where image and video generations accumulate; new generations can be conditioned on prior ones and on dropped references, with Firefly and partner models selectable. Positioned for pre-production ideation.","Firefly plus partner models (OpenAI, Google, Runway, Luma, Pika, Ideogram, Moonvalley per coverage)",Shown as Project Concept at MAX London April 2025; generally available late September 2025.,https://www.designboom.com/design/adobe-firefly-boards-reimagines-moodboarding-creative-professionals-09-29-2025/,verified,Canvas persistence and cross-generation conditioning drive the y placement.
survey 260812,Firefly Text to Image,Firefly (web app),Adobe,Adobe,hosted service,Inferential,neural,1.2,2.5,iterative,"text prompt, style settings, optional reference image, model choice","A text-to-image diffusion model resolves images from prompts and style settings in the Firefly web app, with Firefly and partner models selectable. Image Model 5 can generate at native 4MP and supports prompt-based layered editing, in public beta.",Firefly Image Model 4; Image Model 5 (public beta); partner models,"Image Model 5 public beta announced October 28, 2025 at MAX.",https://news.adobe.com/news/2025/10/adobe-max-2025-firefly,verified,MAX 2025 release also covers audio generation and the all-in-one studio framing.
survey 260812,Firefly Text to Video / Generate Video,Firefly (web app),Adobe,Adobe,hosted service,Inferential,neural,1,7.5,iterative,"text prompt; camera position, zoom, and motion-type settings; optional reference image; model choice","The Firefly Video Model resolves video clips from text prompts, with camera position and motion type specifiable and image conditioning available. Prompt-based editing of generated video and added partner models followed in December 2025 per coverage.",Firefly Video Model; partner models,"Public beta February 12, 2025; prompt-based video editing and additional partner models December 2025 (TechCrunch).",https://blog.adobe.com/en/publish/2025/02/12/meet-firefly-video-model-ai-powered-creation-with-unparalleled-creative-control,verified,Adobe positions generations as commercially safe; stated as vendor claim.
survey 260812,Illustrator Text to Vector Graphic,Illustrator,Adobe,Adobe,core,Inferential,neural,1.5,2.5,iterative,"text prompt; output type set to subject, scene, icon, or pattern; optional style match to existing artwork","The Firefly Vector Model resolves editable vector groups from a text prompt, returning multiple variations; results are placed as paths the designer can rework with standard tools.",Firefly Vector Model,"Beta with Illustrator 28.0, October 2023; vector generation also runs in the Firefly web app, where partner models are documented.",https://community.adobe.com/announcements-651/illustrator-2024-v28-0-text-to-vector-mockup-retype-smooth-slider-and-improved-share-for-review-805905,verified,"Output is addressable vector geometry, which distinguishes it from raster prompt-to-image."
survey 260812,Photoshop AI Assistant,Photoshop,Adobe,Adobe,agent,Inferential,neural,1.8,6,persistent,plain-language prompts (text or voice) over the open document,An agent interprets conversational direction and executes multi-step edits using Photoshop tools on the open document; the designer directs by outcome rather than by operating tools. Working steps are orchestrated by the agent.,proprietary agentic system over Firefly and Photoshop tooling,"Web assistant shown at MAX October 28, 2025; desktop public beta March 10, 2026; wider creative-agent expansion announced June 18, 2026.",https://www.dpreview.com/news/1952544048/adobe-photoshop-ai-assistant-desktop-beta/,verified,"Related: Project Moonlight private beta (March 2026) spans Photoshop, Express, Acrobat per coverage; held provisionally."
survey 260812,Substance 3D Sampler Text to Texture,Substance 3D Sampler,Adobe,Adobe,core,Inferential,neural,2.5,2,iterative,"text prompt; outputs constrained to square, tileable textures","A Firefly-powered generator resolves square, tileable texture images from text prompts; outputs can pass into image-to-material conversion for PBR use. Shipped in Sampler 4.4 as beta alongside text-to-pattern and image-to-texture.",Adobe Firefly,"Sampler 4.4, beta.",https://experienceleague.adobe.com/en/docs/substance-3d-sampler/using/features-and-workflows/generative-workflows,verified,Prompt-resolved output feeding a conditioned material pipeline.
survey 260812,3ds Max Core,3ds Max,Autodesk,Autodesk,core,Explicit,computational,8.6,2.5,persistent,"Base geometry, modifier parameters, stack order, sub-object edits","Geometry resolves through the modifier stack: non-destructive modifiers applied over base geometry, re-evaluated when parameters change. Polygon, NURBS, and patch toolsets address the model directly.",,,https://en.wikipedia.org/wiki/Autodesk_3ds_Max,verified,
survey 260812,Arnold Core,Arnold,Autodesk,Autodesk,core,Explicit,computational,9,1,iterative,"Scene description: geometry, lights, materials, camera, sampling settings","Images resolve through unbiased Monte Carlo path tracing from the scene description: lights, materials, and geometry supplied by the designer govern the result; sampling settings trade noise against render time.",,,https://en.wikipedia.org/wiki/Arnold_(software),verified,Bundled with Maya and 3ds Max through plugins; CPU and GPU.
survey 260812,AutoCAD Core,AutoCAD,Autodesk,Autodesk,core,Explicit,computational,9.7,1,iterative,"Commands, coordinates, object snaps, blocks, layers, dimensions","Drawing content resolves from direct command input: lines, polylines, blocks, and dimensions placed and edited as addressable objects in the DWG database.",,,https://www.autodesk.com/eu/products/autocad/features,verified,Sits near the SolidWorks CAD anchor.
survey 260812,Forma Core,Autodesk Forma,Autodesk,Autodesk,hosted service,Explicit,computational,8.2,1.5,persistent,"Building volumes, terrain, site data, program parameters","Site and massing models resolve from direct manipulation of building volumes, terrain, and site data in a browser environment; edits propagate to linked analyses.",,,https://illustrarch.com/articles/design-softwares/73363-autodesk-forma-review.html,verified,Browser-based platform; grew out of Spacemaker.
survey 260812,Forma Detailed Analyses,Autodesk Forma,Autodesk,Autodesk,hosted service,Explicit,computational,8.5,1,single-pass,"Site and massing model, climate data, analysis parameters","Physics-based solvers resolve environmental results (sun hours, daylight, detailed wind CFD, noise propagation) from the site model as cloud jobs, invoked per analysis run.","physics simulation, cloud compute",,https://www.autodesk.com/products/forma-site-design/environmental-impact-analysis,verified,These detailed runs supply the training data for the rapid ML analyses.
survey 260812,Fusion Core,Fusion,Autodesk,Autodesk,core,Explicit,computational,9.6,1.5,persistent,"Sketches, dimensions, constraints, features on the parametric timeline","Models resolve through the parametric timeline: sketches, features, and constraints recompute downstream geometry when edited.",,,https://www.autodesk.com/products/fusion-360/overview,verified,
survey 260812,Maya Core,Maya,Autodesk,Autodesk,core,Explicit,computational,8.6,3,persistent,"Node attributes, connections, keyframes, deformer weights, scene hierarchy","Scene state resolves through Maya's dependency graph: interconnected nodes recompute outputs when inputs or attributes change. The designer addresses geometry, deformers, and animation through node attributes and connections.",,,https://help.autodesk.com/cloudhelp/2022/ENU/Maya-SDK/Dependency-graph-plug-ins/About-the-dependency-graph.html,verified,Procedural node architecture; sits near the Houdini SOP anchor.
survey 260812,Revit Core,Revit,Autodesk,Autodesk,core,Explicit,computational,9.4,1.5,persistent,"Parametric families, type and instance parameters, constraints, levels and grids","Building models resolve through parametric families and constraints: elements hold typed parameters, and dependent geometry and documentation update when parameters change.",,,https://en.wikipedia.org/wiki/Autodesk_Revit,verified,
survey 260812,3ds Max Retopology,3ds Max,Autodesk,Autodesk,addon,Conditioned,computational,6.3,1.5,single-pass,"Source mesh, target face count, edge and feature settings, preprocess options","The ReForm solver resolves a new quad topology over a supplied mesh through global optimization, steered by target face count and feature settings; invoked per mesh as a batch computation.",Autodesk ReForm 1.6; QuadriFlow and Instant Mesh selectable,ReForm 1.6 update ships with 3ds Max 2026 per release notes,https://help.autodesk.com/cloudhelp/2026/ENU/3DSMax-Retopology/files/Retopology-Tools-for-3ds-Max-ReleaseNotes/GUID-618B8C1A-6FA5-4EFE-AE9D-72B84C603636.html,verified,Computational optimization; no learned model documented in sources read.
survey 260812,Arnold ML Denoiser,Arnold,Autodesk,Autodesk,core,Conditioned,neural,6.5,7,persistent,"Noisy render, albedo and normal AOVs, imager settings","Neural denoisers resolve a cleaned image from the noisy render, conditioned on auxiliary AOVs: OptiX runs on GPU during interactive rendering, OIDN as an imager at render completion. New scenes include the OIDN imager by default.",NVIDIA OptiX denoiser; Intel Open Image Denoise (OIDN),OIDN integrated with Arnold 7.0 (2021); OIDN imager default for new scenes since Arnold 7.3.1 per user guide,https://help.autodesk.com/cloudhelp/ENU/AR-Core/files/ac-whats-new-cards/arnold_user_guide_ac_wn_731_default_denoiser_html.html,verified,y reflects continuous inference during interactive rendering with OptiX.
survey 260812,AutoCAD Markup Assist,AutoCAD,Autodesk,Autodesk,core,Conditioned,neural,6.5,2,iterative,"Imported PDF, PNG, or JPG markup overlaid on the drawing in the Trace workspace; can include photographed handwritten markup","Cloud ML identifies markups (text, leaders, revision clouds) in an imported file overlaid on the drawing, and can insert them as drawing geometry or surface commands named in markup text (MOVE, COPY, DELETE). Invoked per imported markup file.","proprietary, cloud-processed",AutoCAD 2023 per what's-new documentation (2022 release),https://help.autodesk.com/view/ACD/2023/ENU/?guid=GUID-64CFD65E-ABD0-49A8-9218-D4E2D22BC070,verified,Cloud processing; internet connection required per docs. Absent from AutoCAD LT and Mac versions per docs.
survey 260812,AutoCAD Smart Blocks,AutoCAD,Autodesk,Autodesk,core,Conditioned,hybrid,7.8,2,iterative,"Current drawing content, prior block insertions in the DWG, selected geometry for search-and-convert",Machine-learned suggestions resolve from drawing context: placement proposes position and scale based on prior insertions of the same block; replacement suggests substitute blocks; search-and-convert finds repeated geometry and can convert it to block instances. The designer confirms each suggestion.,proprietary (Autodesk AI),Placement and Replacement in AutoCAD 2024; Search and Convert added in AutoCAD 2025 (March 2024) per Engineering.com,https://help.autodesk.com/view/ACD/2025/ENU/?guid=GUID-8D87AF53-BD0C-4E01-A015-42E92E6AA715,verified,Suggestions are advisory; the placed result is an ordinary block instance. Local vs cloud execution undocumented in sources read.
survey 260812,Flame Face Normal Map,Flame,Autodesk,Autodesk,core,Conditioned,neural,5.5,3.5,single-pass,Source footage containing human faces,"ML models recognize facial features in footage and resolve face mattes and a face normal map, invoked per shot; outputs support relighting, color adjustment, and beauty work in the compositing graph.",proprietary ML models,Face normal map generator in Flame 2020 (2019); ML face segmentation covered April 2020,https://beforesandafters.com/2020/04/17/inside-flames-new-machine-learning-powered-human-face-segmentation/,verified,
survey 260812,Flame Inference Node,Flame,Autodesk,Autodesk,core,Conditioned,neural,5,4.5,persistent,"Clip, user-supplied ONNX model, channel mapping in a JSON sidecar file","A batch node runs a user-supplied ONNX model over the clip, with input and output channels defined in a JSON sidecar; inference re-runs when the graph renders. 2025.2 added inference on designated RGBA channels.",user-supplied ONNX models,"Flame 2025.1, July 2024; RGBA channel selection in 2025.2",https://help.autodesk.com/cloudhelp/2025/ENU/Flame-WhatsNew/files/What-s-New-in-Flame-Family-2025/What-s-New-in-2025-2/wn-2025-2-inference.html,verified,Opens the ML band to user-chosen models inside an explicit batch graph; governance varies with the loaded model.
survey 260812,Flame ML Depth Map,Flame,Autodesk,Autodesk,core,Conditioned,neural,5.5,3.5,single-pass,"Source footage; model choice (indoor, outdoor, or external ONNX depth model)","ML models resolve a Z-depth map from monocular footage, invoked per shot for depth-based grading and effects. Flame 2027 added indoor and outdoor depth models and can load external ONNX depth models.",proprietary ML Depth Indoor and Outdoor models; external ONNX depth models loadable,"Z-depth generator in Flame 2020 (2019); reworked depth models and ONNX loading in Flame 2027, April 2026, per Digital Production",https://digitalproduction.com/2026/04/20/autodesk-flame-2027-metadata-and-depth-maps/,verified,Recent change: the April 2026 release opened depth extraction to user-chosen external models.
survey 260812,Flame ML Timewarp,Flame,Autodesk,Autodesk,core,Conditioned,neural,5,4,single-pass,"Neighboring frames of the clip, retime settings","A learned interpolation model resolves intermediate frames from neighboring frames for slow-motion retimes, invoked per timewarp render.",proprietary frame-interpolation model,"Flame 2025.1, July 2024, per CG Channel",https://www.cgchannel.com/2024/10/autodesk-releases-flame-2025/,verified,"Can run in 16-bit or 32-bit depth, CPU or GPU, per coverage."
survey 260812,Flame Sky Extraction,Flame,Autodesk,Autodesk,core,Conditioned,neural,5.5,3.5,single-pass,Source footage,"An ML segmentation model resolves a sky matte from source footage through the semantic keyer, invoked per shot; the matte feeds grading or sky replacement in the compositing graph.",proprietary ML segmentation,"Flame 2020.1, July 2019, per CG Channel",https://www.cgchannel.com/2019/07/autodesk-ships-flame-2020-1/,verified,ML output lands inside an otherwise explicit batch graph.
